C_Country_codes,Postal_codes,C_Location_name,C_Area,C_Lat,C_Long,C_V12,Match_location
PK,22421,Aliabad,Federal Capial &AJK,25.4953,65.7289, ,ALIABAD
PK,39571,Aliabad,Lahore,32.3,73.8, ,ALIABAD
PK,71001,Aliabad,Hyderabad,27.6461,69.0124, ,ALIABAD
PK,77111,Aliabad,Hyderabad,27.5729,68.4542, ,ALIABAD
PK,64201,Aliakbar Sangi,Souhern Punajb Mulan,28.5167,70.3, ,ALIAKBAR SANGI
PK,19061,Aligrama,NWFP Peshawar,35.0428,72.3777, ,ALIGRAMA
PK,47205,Aliot,Federal Capial &AJK,33.95,73.5, ,ALIOT
PK,47331,Aliot,Norhern Punajb Rawalpindi,32.9917,73.4264, ,ALIOT
PK,40500,Alipur Noon,Norhern Punajb Rawalpindi,32.3472,72.9778,4,ALIPUR NOON
PK,34201,Alipur Shumali,Souhern Punajb Mulan,30.4948,71.1924, ,ALIPUR SHUMALI
PK,12251,Alisojal,Federal Capial &AJK,33.8139,73.8514, ,ALISOJAL
PK,59201,Aliwala,Souhern Punajb Mulan,29.5333,70.9667,4,ALIWALA
PK,26280,Alizai,NWFP Peshawar,33.5358,70.3442,4,ALIZAI
PK,64201,Alkuliatul Islamta,Souhern Punajb Mulan,28.5167,70.3, ,ALKULIATUL ISLAMTA
PK,67061,Alla Bux Tanwari,Hyderabad,27.15,68.1667, ,ALLA BUX TANWARI
PK,33001,Allah Abad,Souhern Punajb Mulan,29.6415,70.616, ,ALLAH ABAD
PK,39571,Allah Abad,Lahore,32.3,73.8, ,ALLAH ABAD
PK,52471,Allah Abad,Lahore,31.9356,74.156, ,ALLAH ABAD
PK,55221,Allah Abad,Lahore,33,73.7333, ,ALLAH ABAD
PK,64020,Allah Abad,Souhern Punajb Mulan,29.0542,70.8028, ,ALLAH ABAD
PK,24020,Allah Bakhash Colony,NWFP Peshawar,33.9818,72.1968, ,ALLAH BAKHASH COLONY
PK,68201,Allah Dad Zardari,Hyderabad,26.1056,68.6347, ,ALLAH DAD ZARDARI
PK,70091,Allah Dino Sand,Hyderabad,26.3617,69.1331, ,ALLAH DINO SAND
PK,65111,Allah Dito Kolachi,Hyderabad,27.9278,69.35, ,ALLAH DITO KOLACHI
PK,67381,Allah Ditto Jatoi,Hyderabad,24.6044,67.6931, ,ALLAH DITTO JATOI
PK,67311,Allah Jurio Rajpar,Hyderabad,25.8042,68.6333, ,ALLAH JURIO RAJPAR
PK,77211,Allah Rakhio Junejo,Hyderabad,27.75,67.95,4,ALLAH RAKHIO JUNEJO
PK,67201,Allah Rakhio Kanio,Hyderabad,26.1167,68.2958, ,ALLAH RAKHIO KANIO
PK,67381,Allah Rakhio Maree,Hyderabad,24.6044,67.6931, ,ALLAH RAKHIO MAREE
PK,67031,Allah Wassayo Uner,Hyderabad,27.2722,68.2778, ,ALLAH WASSAYO UNER
PK,35051,Allah Yar Toota,Lahore,30.8722,72.0667, ,ALLAH YAR TOOTA
PK,58251,Allahabad,Souhern Punajb Mulan,30.8167,72.5167,4,ALLAHABAD
PK,76221,Allahabad,Hyderabad,31.45,72.8833, ,ALLAHABAD
PK,67051,Allahabad Sharif,Hyderabad,27.1681,68.2288, ,ALLAHABAD SHARIF
PK,49610,Alliance Textile Milis,Norhern Punajb Rawalpindi,32.9233,73.6967, ,ALLIANCE TEXTILE MILIS
PK,23371,Allilandi,NWFP Peshawar,34.2606,72.2151, ,ALLILANDI
PK,22621,Alloli,NWFP Peshawar,33.1227,71.9342, ,ALLOLI
PK,48651,Allowal,Norhern Punajb Rawalpindi,32.9667,72.7167, ,ALLOWAL
PK,28331,Almarkaz Islami Sadat,NWFP Peshawar,32.891,70.741, ,ALMARKAZ ISLAMI SADAT
PK,18151,Almas,NWFP Peshawar,35.1561,72.0711,4,ALMAS
PK,23131,Alo,NWFP Peshawar,34.4339,72.0586,4,ALO
PK,19150,Aloch,NWFP Peshawar,34.7383,72.6842,4,ALOCH
PK,51021,Alomahar,Lahore,30.8213,72.1431, ,ALOMAHAR
PK,55301,Alpa Kalan,Lahore,31.1378,73.6675,4,ALPA KALAN
PK,19100,Alpurai,NWFP Peshawar,34.9203,72.6319,4,ALPURAI
PK,15701,Altit,Federal Capial &AJK,34.3563,73.2067, ,ALTIT
PK,42051,Alu Wali,Norhern Punajb Rawalpindi,32.5133,71.3994, ,ALU WALI
PK,34401,Alude Wali,Souhern Punajb Mulan,29.6833,71.1, ,ALUDE WALI
PK,34111,Alurid,Souhern Punajb Mulan,30.2417,70.9417, ,ALURID
PK,29401,Amakhel,NWFP Peshawar,32.0935,70.1031, ,AMAKHEL
PK,23021,Aman Dana,NWFP Peshawar,32.8969,70.5831, ,AMAN DANA
PK,19140,Aman Kot,NWFP Peshawar,34.5364,71.2039, ,AMAN KOT
PK,24221,Aman Kot,NWFP Peshawar,34.655,71.61,4,AMAN KOT
PK,69321,Amanabad,Hyderabad,25.0264,69.0986,4,AMANABAD
PK,48001,Amanpur,Norhern Punajb Rawalpindi,33.2186,72.205,4,AMANPUR
PK,68201,Amanullah Dahri,Hyderabad,26.1056,68.6347,4,AMANULLAH DAHRI
PK,66301,Amb Fakir,Hyderabad,28.1184,70.6382, ,AMB FAKIR
PK,41160,Amb Sharif,Norhern Punajb Rawalpindi,32.3773,72.4043, ,AMB SHARIF
